Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.049389      -0.00%        22.93 ms/ev ->        21.82 ms/ev pfGhostTrackVertexTagInfos
   -0.049220      -0.00%         7.06 ms/ev ->         6.72 ms/ev initialStepSelector
   -0.048471      -0.00%        20.48 ms/ev ->        19.51 ms/ev muonSeededTrackCandidatesInOut
   -0.047317      -0.10%      2239.58 ms/ev ->      2136.06 ms/ev detachedQuadStepHitQuadruplets
   -0.047157      -0.01%       251.20 ms/ev ->       239.63 ms/ev trackerDrivenElectronSeeds
   +0.046588      +0.01%       303.78 ms/ev ->       318.27 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.045097      -0.03%       619.60 ms/ev ->       592.27 ms/ev ecalDrivenGsfElectronCoresFromMultiCl
   -0.044711      -0.01%       280.52 ms/ev ->       268.25 ms/ev lowPtTripletStepHitTriplets
   -0.044287      -0.01%       181.85 ms/ev ->       173.97 ms/ev particleFlowRecHitHGC
   -0.043935      -0.01%       141.96 ms/ev ->       135.86 ms/ev lowPtTripletStepTracks
   +0.043501      +0.05%      1041.40 ms/ev ->      1087.71 ms/ev initialStepTracks
   +0.043333      +0.03%       570.82 ms/ev ->       596.11 ms/ev tripletElectronSeeds
   -0.043200      -0.12%      2922.29 ms/ev ->      2798.72 ms/ev ecalDrivenGsfElectronsFromMultiCl
   +0.042302      +0.00%        41.23 ms/ev ->        43.02 ms/ev tofPID4DnoPID
   -0.041809      -0.00%        52.16 ms/ev ->        50.02 ms/ev ticlMultiClustersFromTrackstersTrk
   -0.041120      -0.00%        52.84 ms/ev ->        50.71 ms/ev pixelPairStepHitDoublets
   -0.040871      -0.00%        10.74 ms/ev ->        10.31 ms/ev lowPtGsfElectronCores
   +0.040510      +0.01%       218.64 ms/ev ->       227.68 ms/ev initialStepSeeds
   -0.039673      -0.00%         5.42 ms/ev ->         5.21 ms/ev pfCombinedSecondaryVertexV2BJetTags
   -0.039501      -0.00%        13.17 ms/ev ->        12.66 ms/ev hpsPFTauProducerSansRefs
   -0.039298      -0.00%         9.19 ms/ev ->         8.83 ms/ev photonsFromMultiCl
   +0.038302      +0.02%       613.85 ms/ev ->       637.82 ms/ev lowPtQuadStepTracks
   -0.037689      -0.01%       205.96 ms/ev ->       198.34 ms/ev earlyMuons
   -0.037218      -0.02%       479.66 ms/ev ->       462.13 ms/ev duplicateTrackCandidates
   +0.037153      +0.00%        42.79 ms/ev ->        44.41 ms/ev tofPID
   -0.036891      -0.00%        16.01 ms/ev ->        15.43 ms/ev hgcalTrackCollection
   -0.036461      -0.00%        31.08 ms/ev ->        29.97 ms/ev pfRecoTauTagInfoProducer
   -0.035670      -0.00%        43.14 ms/ev ->        41.63 ms/ev refittedStandAloneMuons
   +0.035268      +0.00%        71.50 ms/ev ->        74.07 ms/ev hgcalDigis
   +0.035076      +0.00%        17.37 ms/ev ->        17.99 ms/ev detachedQuadStep
   -0.033785      -0.02%       473.36 ms/ev ->       457.63 ms/ev highPtTripletStepHitTriplets
   -0.033553      -0.01%       156.19 ms/ev ->       151.03 ms/ev ecalDrivenGsfElectronCores
   +0.032824      +0.00%        16.48 ms/ev ->        17.03 ms/ev tripletElectronHitDoublets
   -0.032163      -0.01%       193.84 ms/ev ->       187.71 ms/ev detachedQuadStepTracks
   -0.031845      -0.02%       750.63 ms/ev ->       727.10 ms/ev tpClusterProducer
   -0.031739      -0.00%         8.58 ms/ev ->         8.31 ms/ev photons
   +0.031695      +0.06%      1713.32 ms/ev ->      1768.50 ms/ev unsortedOfflinePrimaryVertices
   -0.031665      -0.00%       120.46 ms/ev ->       116.71 ms/ev cosmicMuons
   -0.030236      -0.10%      3496.15 ms/ev ->      3392.01 ms/ev ecalDrivenElectronSeeds
   -0.029395      -0.02%       759.04 ms/ev ->       737.05 ms/ev ecalDrivenGsfElectrons
   -0.029210      -0.00%        90.62 ms/ev ->        88.02 ms/ev preDuplicateMergingGeneralTracks
   -0.028862      -0.01%       192.99 ms/ev ->       187.50 ms/ev hpsPFTauBasicDiscriminatorsdR03
   +0.028767      +0.00%       120.50 ms/ev ->       124.02 ms/ev pfImpactParameterTagInfos
   -0.028481      -0.00%       140.17 ms/ev ->       136.23 ms/ev pfTrack
   +0.028442      +0.06%      2030.13 ms/ev ->      2088.70 ms/ev unsortedOfflinePrimaryVertices4D
   -0.027101      -0.00%        14.92 ms/ev ->        14.52 ms/ev dedxPixelHarmonic2
   -0.026905      -0.02%       606.87 ms/ev ->       590.75 ms/ev trackExtrapolator
